club,date,country,League,Tier
Elazigspor,2019-01-24,Turkey,TFF First League,Tier 2
Lierse SK,2011-06-30,Belgium,First Division B,Tier 2
Al-Ahli,2010-08-31,Saudi Arabia,Saudi Professional League,Tier 1
Aksarayspor,2000-01-31,Turkey,Turkish First Football League,Tier 1
Elazig Belediye,2013-11-12,Turkey,TFF Second League,Tier 2
Elbistan Bld,1992-06-30,Turkey,TFF First League,Tier 3
Eyüpspor,2008-10-17,Turkey,Süper Lig,Tier 1
Maccabi Haifa,2014-12-29,Israel,Israeli Premier League,Tier 1
Serbia U19,2010-04-16,Serbia,UEFA Youth League,Tier 2
Ankaragücü,2012-06-30,Turkey,Süper Lig,Tier 1
Seydisehir Eti,2001-06-30,Turkey,Turkish Football League,Tier 2
Aksehir Kültür,2004-06-30,Turkey,Turkish Second League,Tier 2
Radnicki Nis,1987-06-30,Serbia,Yugoslav First League,Tier 1
Kücükcekmece,1993-06-30,Turkey,Süper Lig,Tier 1
Cizre Spor,2017-11-02,Turkey,TFF Third League,Tier 3
Hatayspor,2012-06-30,Turkey,Turkish Süper Lig,Tier 1
DC Divrigispor,2008-11-20,Turkey,Turkish Super League,Tier 1
Tuzlaspor,2019-10-07,Turkey,TFF First League,Tier 2
Ankara Demir,2018-09-23,Turkey,Turkish Super League,Tier 1
Afyonspor,2018-01-19,Turkey,TFF First League,Tier 2
Nigde Belediye,2015-07-28,Turkey,TFF First League,Tier 2
Y. Malatyaspor,2011-12-26,Turkey,Turkish Super League,Tier 2
Boluspor,2007-06-30,Turkey,Süper Lig,Tier 2
Afyonspor,2003-06-30,Turkey,Turkish First Football League,Tier 2
BB Ankaraspor,2003-06-30,Turkey,Turkish Second League,Tier 2
Sanliurfaspor,1999-11-03,Turkey,Turkish Super League,Tier 1
Bursaspor,2004-12-17,Turkey,Süper Lig,Tier 1
Fethiyespor,1996-04-05,Turkey,Turkish Football First League,Tier 2
Besiktas,2020-08-11,Turkey,Super Lig,Tier 1
Kayserispor,2021-01-11,Turkey,Süper Lig,Tier 2
CFR Cluj,2018-06-05,Romania,Romanian SuperLiga,Tier 2
Sanliurfaspor,2023-05-03,Turkey,Süper Lig,Tier 1
Sanliurfaspor,2022-03-31,Turkey,TFF First League,Tier 3
Pendikspor,2015-06-10,Turkey,TFF Second League,Tier 2
Kocaeli Birlik,2015-06-29,Turkey,TFF Third League,Tier 4
Sakaryaspor,2002-06-30,Turkey,Turkish Super League,Tier 1
Novi Pazar,2016-01-09,Serbia,SuperLiga,Tier 1
Alki Larnaca,2010-03-21,Cyprus,Cypriot First Division,Tier 2
La Louviere,1992-06-30,Belgium,First Division,Tier 1
Kahramanmaras,1989-04-12,Turkey,Turkish First Football League,Tier 2
Giresunspor Yth,2019-09-18,Turkey,TFF 3. Lig,Tier 4
Manisaspor,2019-06-30,Turkey,TFF First League,Tier 2
Manisaspor Yth,2010-06-30,Turkey,TFF Third League,Tier 3
Kayserispor,2014-10-17,Turkey,Turkish Süper Lig,Tier 1
Trabzonspor,2013-06-30,Turkey,Süper Lig,Tier 1
Trabzonspor U18,2011-06-30,Turkey,Süper Lig,Tier 2
Kayserispor,2018-06-30,Turkey,Turkish Süper Lig,Tier 2
K. Erciyesspor,2010-01-22,Turkey,Turkish Super League,Tier 2
Eskisehirspor,2010-10-25,Turkey,TFF First League,Tier 2
Nazilli Bld.,2022-09-06,Turkey,TFF Third League,Tier 4
Hacettepe,2016-11-15,Turkey,Süper Lig,Tier 1
Usak Spor,2019-10-27,Turkey,TFF First League,Tier 2
Usak Spor,2021-02-16,Turkey,TFF Second League,Tier 3
FC Heartland,2019-06-30,Russia,Russian Premier League,Tier 1
Alibeyköy,2009-06-30,Turkey,Süper Lig,Tier 2
Karagümrük,2003-01-27,Turkey,Turkish Süper Lig,Tier 1
Galata SK,1977-06-30,Turkey,Turkish First Football League,Tier 1
Feriköy GK,1960-10-26,Turkey,Turkish Football League,Tier 1
Y. Turgutluspor,2000-09-22,Turkey,TFF Third League,Tier 3
Bandirmaspor,2022-11-10,Turkey,Süper Lig,Tier 1
Tavsanli Linyit,2009-06-30,Turkey,Süper Lig,Tier 1
Kütahyaspor,2006-11-03,Turkey,Turkish Super League,Tier 1
Mersin IY Yth,2014-06-30,Turkey,TFF Second League Tier,Tier 2
Simav Eynalspor,1998-06-30,Turkey,Turkish Second Football League,Tier 2
Esk. Sekerspor,1992-06-30,Turkey,Turkish Second Football League,Tier 3
Büyüksehir Jgd,2013-06-30,Turkey,TFF Third League,Tier 2
Boluspor,2023-05-22,Turkey,Süper Lig,Tier 1
Karabükspor,2017-12-15,Turkey,Süper Lig,Tier 2
DC Karabükspor,1974-11-05,Turkey,Turkish First Football League,Tier 2
Erbaaspor,1995-10-25,Turkey,TFF Second League,Tier 2
Altinordu Yth,2019-06-30,Turkey,TFF Third League,Tier 3
Tuzlaspor U19,2017-11-29,Turkey,Turkish Youth League,Tier 2
Tuzlaspor,2017-04-25,Turkey,Süper Lig,Tier 2
Dardanelspor,2016-01-06,Turkey,TFF Third League,Tier 4
M. Kemalpasaspor,2005-11-15,Turkey,Turkish Super League,Tier 2
Bucaspor,2007-10-15,Turkey,Turkish Super League,Tier 1
Kütahyaspor,2004-11-18,Turkey,TFF Third League,Tier 3
Muglaspor,2002-06-30,Turkey,Süper Lig,Tier 1
Pazarspor,2022-06-21,Turkey,Süper Lig,Tier 1
Ünyespor,2001-06-30,Turkey,TFF First League,Tier 2
Amasyaspor,2004-06-30,Turkey,Turkish Super League,Tier 2
Artvin Hopaspor,1999-06-30,Turkey,TFF Third League,Tier 4
Orduspor,1996-10-21,Turkey,Turkish First Football League,Tier 1
Myanmar,1996-06-30,Burma,ASEAN Football Championship,Tier 2
Balikesir U21,2014-06-30,Turkey,TFF 2. Lig,Tier 3
Balikesir Yth,2011-10-20,Turkey,Süper Lig,Tier 2
Kirklareli,2000-01-25,Turkey,TFF First League,Tier 4
Balikesirspor,2018-01-03,Turkey,TFF First League,Tier 3
Istanbul Sinop,2009-12-31,Turkey,Süper Lig,Tier 1
Balikesirspor,2021-11-08,Turkey,TFF First League,Tier 2
Aksehir Spor,2016-06-30,Turkey,TFF Third League,Tier 3
Kemerspor 2003,2016-10-06,Turkey,Turkish First Football League,Tier 2
Kemerspor,1995-06-30,Turkey,Turkish First Football League,Tier 2
Nevsehir Bld,2020-12-22,Turkey,TFF Third League,Tier 3
Tarsus IY,2016-03-17,Turkey,Turkish Second League,Tier 3
Kirsehir Bld,2020-12-28,Turkey,TFF First League,Tier 2
Tepecikspor,2014-05-08,Turkey,TFF First League,Tier 2
Cubukspor,2016-12-15,Turkey,Turkish Super League,Tier 2
Yeni Amasya,2013-06-30,Turkey,TFF Second League,Tier 2
19-28 Bucaspor,2019-11-10,Turkey,Süper Lig,Tier 1
Gümüshanespor,2007-10-26,Turkey,TFF Third League,Tier 4
Sanliurfaspor,2002-03-06,Turkey,Süper Lig,Tier 3
BB Erzurumspor,2023-02-04,Turkey,TFF First League,Tier 2
BB Erzurumspor,2022-03-08,Turkey,TFF First League,Tier 4
Gaziantep BB,2010-09-13,Turkey,Süper Lig,Tier 1
Gaziantep BB,2006-06-30,Turkey,TFF First League,Tier 2
Karagümrük,20/06/30,Turkey,Turkish Süper Lig,Tier 1
Iskenderunspor,2022-12-12,Turkey,TFF First League,Tier 3
Karagümrük,2019-02-25,Turkey,Süper Lig,Tier 1
B. Günesli,2013-10-29,Turkey,TFF Third League,Tier 4
Pasabahce,2016-06-30,Turkey,Turkish Süper Lig,Tier 1
Zaferspor,2013-06-30,Latvia,Virsliga,Tier 1
Corum Belediye,2014-03-04,Turkey,TFF Third League,Tier 3
Cankirispor,2007-06-30,Turkey,TFF Second League,Tier 3
Cankirispor,2003-10-13,Turkey,TFF First League,Tier 2
Karagümrük,2006-09-21,Turkey,Turkish Süper Lig,Tier 1
Amasyaspor,2003-06-30,Turkey,Turkish Super League,Tier 1
Sekerspor,1999-12-07,Turkey,Turkish First Football League,Tier 3
IDC Genel Müd.,2005-10-09,Turkey,Süper Lig,Tier 1
Curaçao,2018-06-30,Curacao,CFU Women's Caribbean Cup,Tier 3
Corluspor,2001-08-07,Spain,La Liga,Tier 2
Adana Demirspor,1992-11-12,Turkey,Turkish First Football League,Tier 1
Corumspor,1968-11-06,Romania,Liga I,Tier 1
Altinordu,1962-06-30,Turkey,Turkish First Football League,Tier 1
Adanaspor,1971-06-30,Turkey,Süper Lig,Tier 1
Ümraniyespor,2009-12-31,Turkey,TFF First League,Tier 2
Gebzespor,2011-02-16,Turkey,Turkish Second League,Tier 2
Serhat Ardahan,2016-12-02,Turkey,TFF Third League,Tier 3
Pazarspor,2008-03-19,Turkey,Süper Lig,Tier 1
HEASK,2017-10-18,Germany,Bundesliga,Tier 1
Sariyer,2014-03-20,Turkey,Turkish Second Football League,Tier 3
Bilecikspor,1998-06-30,Turkey,TFF Third League,Tier 3
Bandirmaspor,2002-12-30,Turkey,Süper Lig,Tier 1
Miami FC,1979-06-30,United States,NASL,Tier 2
Osmaniyespor FK,2021-06-30,Turkey,TFF Third League,Tier 3
Bayrampasa,2018-01-14,Turkey,Turkish Süper Lig,Tier 1
Sancaktepe Bld,2014-06-03,Turkey,Turkish Football Cup,Tier 2
Yalovaspor,2016-12-05,Turkey,Süper Lig,Tier 1
Kücükcekmece,2008-01-14,Turkey,Turkish Football Cup,Tier 2
Zeytinburnuspor,2007-04-04,Turkey,TFF First League,Tier 2
Gaziosmanpasa,2002-11-21,Turkey,Turkish Super Lig,Tier 1
M. Kemalpasaspor,2006-01-06,Turkey,Süper Lig,Tier 2
Inegölspor,1993-12-29,Turkey,TFF First League,Tier 2
Söke Spor,2021-06-28,Turkey,Süper Lig,Tier 2
Nazilli Bld.,2021-03-15,Turkey,TFF First League,Tier 2
Ispartaspor,2008-06-30,Turkey,Turkish Super League,Tier 2
Aydinspor,2019-06-30,Turkey,TFF First League,Tier 2
Aydinspor,2007-06-30,Turkey,Turkish First Football League,Tier 2
Alanyaspor,2019-06-30,Turkey,Turkish Süper Lig,Tier 1
Konyaspor,2018-06-30,Turkey,Turkish Super League,Tier 1
Eskisehirspor,2017-09-26,Turkey,TFF First League,Tier 3
Tekirova Bld,2013-03-12,Turkey,Turkish Regional Amateur League,Tier 4
Besiktas U16,2022-09-28,Turkey,Süper Lig,Tier 1
Karsiyaka,2018-01-23,Turkey,TFF First League,Tier 2
Karsiyaka,1995-10-23,Turkey,Süper Lig,Tier 1
Arhavi Spor,2016-06-30,Turkey,TFF Third League,Tier 3
Manisaspor U21,2008-01-07,Turkey,TFF First League,Tier 3
Darica GB,2021-06-30,Romania,Liga I,Tier 2
Beysehir Bld,2018-06-30,Turkey,TFF Third League,Tier 4
Kartalspor,2016-06-17,Sweden,Allsvenskan,Tier 2
Adiyaman FK,2021-11-16,Turkey,TFF Third League,Tier 3
Kahtaşpor,2018-06-30,Turkey,Super Lig,Tier 2
Edremitspor,1993-10-27,Turkey,Turkish Second Football League,Tier 2
Tekirdagspor,1999-11-20,Turkey,TFF First League,Tier 4
Tekirdagspor,1993-09-13,Turkey,Turkish Second League,Tier 2
Gaziosmanpasa,2019-06-30,Turkey,Turkish Super League,Tier 2
Gaziosmanpasa,2017-06-30,Turkey,Süper Lig,Tier 2
Karasuspor,2018-02-23,Turkey,Turkish Super League,Tier 1
Eyüpspor,2005-10-07,Turkey,Süper Lig,Tier 2
Kasimpasa,2018-11-05,Turkey,Süper Lig,Tier 2
Etimesgut Seker,2008-06-30,Turkey,Turkish Second League,Tier 2
Oguzhanspor,2017-06-30,Turkey,TFF Third League,Tier 4
Oguzhanspor,2013-06-30,Turkey,TFF Second League,Tier 2
Edirnespor,2022-06-14,Turkey,TFF Second League,Tier 3
Ofspor,2018-06-07,Norway,Eliteserien,Tier 2
Igdir Aras Spor,2018-06-30,Turkey,Turkish Amateur League,Tier 3
Yalispor,2010-04-21,Turkey,Süper Lig,Tier 1
Pazarspor,2020-08-03,Turkey,Süper Lig,Tier 1
Ünyespor,2011-01-23,Turkey,TFF First League,Tier 2
Batman Petrol,2012-12-17,Turkey,TFF First League,Tier 3
Batman Petrol,2012-03-28,Turkey,TFF Second League,Tier 3
Sanliurfa Yth,2019-09-13,Turkey,Süper Lig,Tier 2
Galatasaray,2010-10-22,Turkey,Süper Lig,Tier 1
Sanliurfaspor,2013-06-30,Turkey,TFF First League,Tier 2
Adiyamamsport,2014-03-27,Turkey,TFF First League,Tier 2
Iskenderun DC,2011-10-13,Turkey,TFF First League,Tier 2
Bulvarspor,2020-08-03,Sweden,Allsvenskan,Tier 2
Cizre Spor,2016-12-05,Turkey,Turkish Regional Amateur League,Tier 4
Antalyaspor Yth,2011-08-29,Turkey,Süper Lig,Tier 2
Turgutluspor,2022-06-30,Turkey,TFF First League,Tier 4
Bucaspor,2015-04-13,Turkey,TFF First League,Tier 2
Bucaspor Yth,2011-04-15,Turkey,Turkish Super League,Tier 2
Manisa Belediye,2015-09-18,Turkey,TFF Third League,Tier 3
Turgutluspor,2012-12-03,Turkey,Turkish Football Championship,Tier 3
Turgutluspor,2014-04-08,Turkey,Turkish Second League,Tier 2
Lüleburgazspor,2010-12-14,Turkey,TFF Third League,Tier 3
E. Erokspor,2019-12-27,Turkey,Süper Lig,Tier 1
Yalovaspor,2010-02-18,Turkey,Turkish First Football League,Tier 2
Bulvarspor,2022-11-03,Sweden,Allsvenskan,Tier 1
Bagcilar SK,2021-07-26,Turkey,TFF First League,Tier 2
Bagcilar SK,2020-01-13,Turkey,TFF First League,Tier 3
Türkiye U19,2016-06-30,Turkey,UEFA European Under-19 Championship,Tier 2
Bartinspor,2018-09-06,Turkey,TFF First League,Tier 2
Erbaaspor,2019-12-16,Turkey,TFF Third League,Tier 4
Catalcaspor,2015-06-30,Spain,La Liga,Tier 1
M. Kemalpasaspor,2008-01-25,Turkey,Turkish Süper Lig,Tier 1
Trabzonspor,2023-06-30,Turkey,Süper Lig,Tier 1
Ofspor,2019-09-12,Turkey,Turkish Super League,Tier 1
Carsambaspor,2014-01-15,Turkey,TFF First League,Tier 2
Trabzonspor,2000-06-30,Turkey,Turkish Süper Lig,Tier 1
Gümüshane Yth,2004-06-30,Turkey,Turkish Third League,Tier 3
Kücükköyspor,2009-03-13,Turkey,TFF Second League,Tier 3
Antalyaspor U21,2011-08-29,Turkey,TFF A2,Tier 3
Bagdatspor,30/6/2024,Turkey,TFF First League,Tier 3
K. Maras Belediye,2012-06-30,Turkey,TFF Third League,Tier 3
Carsibasi Bld,2018-06-30,Turkey,Süper Lig,Tier 1
Kastamonuspor,2011-06-30,Turkey,TFF First League,Tier 2
Zonguldakspor,2004-04-30,Turkey,TFF First League,Tier 2
Sanliurfaspor,1996-06-30,Turkey,Süper Lig,Tier 1
Kizilcabölük,2021-05-31,Turkey,Süper Lig,Tier 1
Denizli Belediye,2007-06-30,Turkey,TFF First League,Tier 2
Adana Demir U21,2018-11-20,Turkey,TFF 2nd League,Tier 3
Adanaspor Yth,2016-10-27,Turkey,TFF Second League,Tier 2
Tepecik Spor,20/4/2024,Turkey,TFF Third League,Tier 3
Develi Spor,2022-06-30,Turkey,TFF Third League,Tier 3
Araban Belediye,2019-06-30,Turkey,Süper Lig,Tier 1
Yüksekova Bld,2018-06-30,Turkey,TFF Third League,Tier 3
Yeni Diyarbakir,2014-06-30,Turkey,Süper Lig,Tier 2
Carsibasi Bld,2023-06-30,Turkey,TFF Second League,Tier 2
Beykozspor,1986-06-30,Turkey,Turkish Football League,Tier 2
BB Erzurumspor,2021-11-06,Turkey,TFF First League,Tier 2
Serik Belediye,2017-03-07,Turkey,TFF Third League,Tier 3
Balikesir Yth,2015-05-04,Turkey,TFF First League,Tier 2
Galatasaray,2013-10-01,Turkey,Süper Lig,Tier 1
Pendikgücü,2013-06-30,Turkey,Turkish Third Football League,Tier 4
Emrespor,2013-06-30,Turkey,TFF Third League,Tier 4
Pelister Bitola,2017-07-07,Macedonia, Macedonian First League,Tier 2
Inegölspor,2009-11-17,Turkey,TFF First League,Tier 2
APOEL Nicosia,2003-06-30,Cyprus,Cypriot First Division,Tier 2
Olympiacos,2002-10-09,Greece,Super League Greece,Tier 1
Greece U20,2019-06-30,Greece,UEFA European Under-20 Championship,Tier 2
Olympiacos,2009-09-14,Greece,Super League Greece,Tier 1
Velez Mostar,1988-06-30,Bosnia and Herzegovina,Prva Liga,Tier 2
Anorthosis,1993-06-30,Cyprus,Cypriot First Division,Tier 4
Doxa Dramas,1983-06-30,Greece,Beta Ethniki,Tier 2
Olympiacos,2004-03-17,Greece,Super League Greece,Tier 2
Omonia Nikosia,2007-05-25,Cyprus,Cypriot First Division,Tier 4
Olympiacos,1993-06-30,Greece,Alpha Ethniki,Tier 1
Shakhtar Donetsk,2021-08-11,Ukraine,Ukrainian Premier League,Tier 2
FC Moscow,2008-11-27,Russia,Russian Premier League,Tier 2
Dynamo Kyiv,2007-12-06,Ukraine,Ukrainian Premier League,Tier 1
Honvéd FC,1999-11-15,Hungary,Nemzeti Bajnokság I,Tier 1
Büki TK,1999-08-30,Hungary,Nemzeti Bajnokság I,Tier 1
Niki Volou,2005-12-27,Greece,Super League Greece,Tier 2
Olympiacos,1989-05-15,Greece,Alpha Ethniki,Tier 1
Olympiacos,1988-05-31,Greece,Alpha Ethniki,Tier 2
Greece,1971-07-06,Greece,European Championship Group Stage,Tier 2
FC Nagykanizsa,1977-06-30,Hungary,NB I,Tier 1
Jednota Košice,1956-12-31,Slovakia,Czechoslovak First League,Tier 1
Panathinaikos,2020-10-19,Greece,Super League Greece,Tier 2
Espanyol,2012-06-30,Spain,La Liga,Tier 1
Al-Hilal,2016-05-30,Saudi Arabia,Pro League,Tier 1
Ergotelis,2014-05-14,Greece,Super League Greece,Tier 1
Panathinaikos,2015-11-01,Greece,Super League Greece,Tier 2
Panathinaikos,2017-02-28,Greece,Super League Greece,Tier 2
Ajax,2007-10-08,Netherlands,Eredivisie,Tier 1
AO Episkopi,2022-06-30,Cyprus,Cypriot Second Division,Tier 3
Debrecen,2011-04-16,Hungary,Nemzeti Bajnokság I,Tier 3
B. Jerusalem,2010-02-20,Israel,Liga Alef,Tier 4
Maccabi Haifa,2000-06-30,Israel,Ligat Ha'al,Tier 3
Israel U21,2000-06-30,Israel,U21 European Championship Group Stage,Tier 3
M. Shaaraim,1985-12-01,Israel,Liga Alef,Tier 2
Universitario,1995-12-31,Peru,Peruvian Primera División,Tier 1
AEK Athens,2002-06-30,Greece,Superleague Greece,Tier 1
Paniliakos,1999-01-19,Greece,Super League Greece,Tier 1
Greece,2001-09-06,Greece,Greek Super League,Tier 2
AE Larisa,1995-06-30,Greece,Alpha Ethniki,Tier 1
Apol. Kalamarias,1983-10-18,Greece,Beta Ethniki,Tier 2
Panathinaikos,1996-10-22,Greece,Super League Greece,Tier 1
IFK Göteborg,1987-12-31,Sweden,Allsvenskan,Tier 1
Vålerenga,1984-12-31,Norway,Tippeligaen,Tier 1
Panathinaikos,1986-06-05,Greece,Greek Super League,Tier 2
ČSSZ U16,1979-06-30,Czechoslovakia,Federations Cup,Tier 2
FC Porto,1975-02-24,Portugal,Primeira Liga,Tier 1
Panathinaikos,1953-06-30,Greece,Greek Super League,Tier 1
Banfield,2015-08-04,Argentina,Argentine Primera División,Tier 1
Atromitos,2016-08-06,Greece,Super League Greece,Tier 2
OFI Crete FC,2006-02-13,Greece,Super League Greece,Tier 2
GS Kallithea,2003-01-14,Greece,Greek Football League,Tier 2
AO Kavala,1999-12-01,Greece,Gamma Ethniki,Tier 4
Akratitos,2002-02-08,Greece,Super League Greece,Tier 2
Panetolikos,1998-04-28,Greece,Superleague Greece,Tier 1
Vyzas Megaron,1970-04-04,Greece,Greek Football League,Tier 2
RFS,2020-02-24,Croatia,HNL (1. HNL),Tier 2
Melipilla,2022-09-26,Chile,Primera DivisiÃ³n de Chile,Tier 3
OFI Crete FC,2019-06-30,Greece,Super League Greece,Tier 2
Doxa Dramas,2016-11-28,Greece,Super League Greece,Tier 2
Skoda Xanthi,2010-11-08,Greece,Super League Greece,Tier 2
AO Chalkis,2016-06-30,Greece,Super League Greece,Tier 2
Panachaiki,2002-06-30,Greece,Gamma Ethniki,Tier 3
Ergotelis,2014-01-14,Greece,Super League Greece,Tier 1
APOEL Nicosia,1998-12-14,Cyprus,Cypriot First Division,Tier 3
AEEK SYNKA,2017-05-22,Finland,Kakkonen,Tier 3
Niki Volou,2006-02-14,Greece,Super League Greece,Tier 1
An. Giannitson,1990-06-30,Greece,Greek Super League,Tier 1
OFI Crete FC,2022-09-10,Greece,Super League Greece,Tier 1
Rapid Bucharest,2007-06-30,Romania,Liga I,Tier 1
Panetolikos,2018-01-07,Greece,Super League Greece,Tier 2
AEL Kalloni,2016-04-22,Greece,Super League Greece,Tier 2
Apollon Smyrnis,2005-04-25,Greece,Super League Greece,Tier 1
PAOK Salonika,1997-02-02,Greece,Super League Greece,Tier 1
GAS Ialysos,1996-06-30,Greece,Greek Beta Ethniki,Tier 3
Feyenoord,2010-06-30,Netherlands,Eredivisie,Tier 1
PAOK Salonika,1977-04-25,Greece,Alpha Ethniki,Tier 1
Panionios,2019-09-02,Greece,Super League Greece,Tier 2
AOK Kerkyra,2019-02-04,Greece,Super League Greece,Tier 2
Eolikos,2012-04-24,Greece,Super League Greece,Tier 1
Makedonikos,2008-12-22,Greece,Super League Greece,Tier 2
Criciúma EC,2008-10-15,Brazil,Campeonato Brasileiro Série B,Tier 2
Iraklis,2012-04-30,Greece,Super League Greece,Tier 1
Aris Saloniki,2013-12-20,Greece,Super League Greece,Tier 1
Aris Saloniki,2012-10-07,Greece,Super League Greece,Tier 1
Olymp. Volou,2001-09-24,Greece,Gamma Ethniki,Tier 4
Nacional,2016-12-28,Uruguay,Primera DivisiÃ³n Uruguaya,Tier 2
Vit. Guimarães,1996-01-14,Portugal,Primeira Liga,Tier 1
Panachaiki,2019-05-17,Greece,Super League Greece,Tier 2
AOK Kerkyra,2018-01-23,Greece,Super League Greece,Tier 2
Nafpaktiakos,1998-06-30,Greece,Beta Ethniki,Tier 2
Anorthosis,2010-11-18,Cyprus,Cypriot First Division,Tier 2
FinnPa,1997-12-31,Finland,Veikkausliiga,Tier 2
HJK Helsinki,1990-12-31,Finland,Veikkausliiga,Tier 1
Ilysiakos,2009-03-09,Greece,Superleague Greece,Tier 2
Young Lions,2016-02-15,Singapore,S.League,Tier 4
Hajduk Split,1988-01-01,Croatia,Yugoslav First League,Tier 2
Spartak Pleven,1987-06-30,Bulgaria,A PFG,Tier 2
Lokomotiv GO,1988-06-30,Russia,Soviet Top League,Tier 1
Botev Vratsa,1981-08-30,Bulgaria,A Group,Tier 2
AO Egaleo,1979-02-02,Greece,Beta Ethniki,Tier 2
Iraklis,2018-11-12,Greece,Super League Greece,Tier 2
Niki Volou,2014-06-30,Greece,Super League Greece,Tier 3
Panserraik. U19,2013-06-30,Greece,Super League Greece,Tier 2
Iraklis,2006-11-06,Greece,Super League Greece,Tier 2
FC Luftëtari,2018-09-19,Albania,Kategoria Superiore,Tier 2
Iraklis,2012-02-09,Greece,Superleague Greece,Tier 1
Pierikos,2005-10-13,Greece,Greek Superleague,Tier 1
Iraklis,2011-12-06,Greece,Super League Greece,Tier 2
Liverpool Res.,2012-11-26,England,Conference League,Tier 3
Barça Youth,2009-06-30,Spain,La Liga Juvenil,Tier 1
Iraklis,2004-05-07,Greece,Super League Greece,Tier 2
El Salvador,1997-12-31,El Salvador,UNCAF Nations Cup,Tier 2
El Salvador,1994-06-30,El Salvador,UNCAF Nations Cup,Tier 2
AEK Larnaca,2002-06-30,Cyprus,Cypriot First Division,Tier 4
Iraklis,1991-09-30,Greece,Greek Super League,Tier 2
Lech Poznan,1998-04-29,Poland,Ekstraklasa,Tier 1
Iraklis,1980-12-15,Greece,Alpha Ethniki,Tier 1
Iraklis,1978-04-10,Greece,Alpha Ethniki,Tier 1
Iraklis,1969-06-30,Greece,Alpha Ethniki,Tier 1
Kremser SC,1969-06-30,Austria,Erste Liga,Tier 2
AO Chalkis,1969-01-31,Greece,Greek Alpha Ethniki,Tier 1
APOEL Nicosia,2015-11-20,Cyprus,Cypriot First Division,Tier 3
Panionios,2021-11-28,Greece,Super League Greece,Tier 2
AE Larisa,2014-11-01,Greece,Super League Greece,Tier 1
Paniliakos,2014-04-18,Greece,Superleague Greece,Tier 2
IFK Göteborg,2014-11-03,Sweden,Allsvenskan,Tier 1
FC 08 Homburg,2022-06-30,Germany,Regionalliga Southwest,Tier 4
Panionios,2005-09-11,Greece,Super League Greece,Tier 2
Panargiakos,2024-06-30,Greece,Super League Greece,Tier 2
AO Trikala,2015-09-16,Greece,Super League Greece,Tier 1
Olymp. Volou,2012-10-19,Greece,Super League Greece,Tier 3
Elpidoforos,2012-06-30,Cyprus,Cypriot First Division,Tier 4
Poseidon Neon Poron,2004-06-30,Cyprus,Cypriot First Division,Tier 2
Apollon Smyrnis,2001-01-14,Greece,Greek Super League,Tier 2
Serbia-Mont.,2007-01-31,Serbia,SuperLiga,Tier 2
Panionios,2000-12-19,Greece,Super League Greece,Tier 3
Steaua Bucharest,1986-10-12,Romania,Liga I,Tier 1
Bihor Oradea,1979-06-30,Romania,Liga I,Tier 1
Panachaiki,1997-09-15,Greece,Gamma Ethniki,Tier 3
Panionios,1989-11-10,Greece,Alpha Ethniki,Tier 1
Spartak Moscow,1975-12-31,Russia,Soviet Top League,Tier 1
PAS Lamia,2014-02-12,Greece,Super League Greece,Tier 1
PS Kalamata,2022-06-30,Greece,Greek Football League,Tier 3
Ap. Larisas,2020-07-27,Greece,Super League Greece,Tier 3
PS Kalamata,2018-03-11,Greece,Greek Super League,Tier 2
Panionios,2008-12-03,Greece,Super League Greece,Tier 2
AS Rodos,2019-11-11,Greece,Superleague Greece,Tier 1
AO Kerkyra,2003-02-10,Greece,Beta Ethniki,Tier 2
Agia Paraskevi,2010-12-20,Greece,Greek Super League,Tier 2
Pierikos,2008-04-24,Greece,Superleague Greece,Tier 1
AS Leonidiou,2000-11-26,Greece,Greek Football League,Tier 3
AO Xanthi,2022-06-30,Greece,Super League Greece,Tier 3
Partizan,2018-08-30,Serbia,SuperLiga,Tier 2
Agrotikos,2017-02-20,Greece,Super League Greece,Tier 1
Skoda Xanthi,1994-01-05,Greece,Alpha Ethniki,Tier 1
PAS Patraikos,2001-06-30,Greece,Greek Super League,Tier 2
FC Knokke,2008-06-30,Belgium,Belgian Pro League,Tier 1
PAE Veria,2018-01-30,Greece,Super League Greece,Tier 2
PAO Rouf,2012-02-27,Greece,Super League Greece,Tier 1
Aris Petroupolis,2023-05-23,Greece,Super League Greece,Tier 2
Atromitos,2017-02-13,Greece,Super League Greece,Tier 1
AO Trikala,2012-03-22,Greece,Super League Greece,Tier 1
Ionikos Nikeas,2007-09-26,Greece,Greek Super League,Tier 2
Al-Ahli SC,2004-11-08,Egypt,Egyptian Premier League,Tier 2
Apollon Smyrnis,2012-03-20,Greece,Super League Greece,Tier 1
Panelefsiniakos,1999-06-30,Greece,Gamma Ethniki,Tier 3
Ag. Dimitrios,2008-04-15,Greece,Super League Greece,Tier 2
Ag. Dimitrios,2004-03-15,Greece,Greek Super League,Tier 2
PAS Giannina,2010-01-13,Greece,Super League Greece,Tier 1
Thermaikos,20/6/2024,Greece,Super League Greece,Tier 2
Olymp. Volou,2015-01-06,Greece,Super League Greece,Tier 1
Tyrnavos 2005,2014-11-10,Greece,Gamma Ethniki,Tier 3
Ira. Psachnon,2015-03-25,Greece,Greek Football League,Tier 2
Unknown,2006-03-07,Netherlands,Eredivisie,Tier 1
PAS Lamia,2019-10-21,Greece,Super League Greece,Tier 2
Panetolikos U20,2016-06-30,Greece,Super League Greece,Tier 3
